NO.	compound_name	IUPAC_name	SMILES	CID	logBB	Inchi	reference	group	comments
609	phenyl-n-tert-butylnitrone	n-tert-butyl-1-phenylmethanimine oxide	CC(C)(C)[N+](=CC1=CC=CC=C1)[O-]	4390.0|4390.0|	0.05	InChI=1S/C11H15NO/c1-11(2,3)12(13)9-10-7-5-4-6-8-10/h4-9H,1-3H3	R27|R3|	B	
610	procaine	2-(diethylamino)ethyl 4-aminobenzoate	CCN(CC)CCOC(=O)C1=CC=C(C=C1)N	4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|4914.0|	0.05	InChI=1S/C13H20N2O2/c1-3-15(4-2)9-10-17-13(16)11-5-7-12(14)8-6-11/h5-8H,3-4,9-10,14H2,1-2H3	R3|R18|R21|R25|R26|R27|R27|R38|R41|R43|R46|R47|R2|R2|R8|R27|R40|	B	
611	compound 32	2-(1-methylpiperidin-4-yl)-6-(2-phenylpyrazolo[1,5-a]pyridin-3-yl)pyridazin-3-one	CN1CCC(CC1)N2C(=O)C=CC(=N2)C3=C4C=CC=CN4N=C3C5=CC=CC=C5	9821511.0|9821511.0|9821511.0|9821511.0|9821511.0|9821511.0|9821511.0|	0.06	InChI=1S/C23H23N5O/c1-26-15-12-18(13-16-26)28-21(29)11-10-19(24-28)22-20-9-5-6-14-27(20)25-23(22)17-7-3-2-4-8-17/h2-11,14,18H,12-13,15-16H2,1H3	R2|R2|R8|R27|R40|R47|R4|	B	
612	paraxanthine	1,7-dimethyl-5,8-dihydro-3h-purine-2,6-dione	CN1CN=C2C1C(=O)N(C(=O)N2)C	72743685.0|72743685.0|72743685.0|	0.06	InChI=1S/C7H10N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h4H,3H2,1-2H3,(H,8,9,13)	R2|R2|R25|	B	
613	paraxanthine	1,7-dimethyl-4,5-dihydro-3h-purine-2,6-dione	CN1C=NC2C1C(=O)N(C(=O)N2)C	23558447.0|23558447.0|23558447.0|	0.06	InChI=1S/C7H10N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3-5H,1-2H3,(H,9,13)	R18|R26|R27|	B	
614	amylene-hydrate (tertiary-amyl alcohol)	2-methylbutan-2-ol	CCC(C)(C)O	6405.0|6405.0|6405.0|6405.0|6405.0|6405.0|6405.0|6405.0|6405.0|6405.0|6405.0|6405.0|6405.0|6405.0|	0.07	InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3	R2|R2|R8|R21|R25|R27|R27|R40|R41|R43|R46|R47|R3|R38|	B	
615	p-bromospiperone	1-(4-bromophenyl)-8-[4-(4-fluorophenyl)-4-oxobutyl]-1,3,8-triazaspiro[4.5]decan-4-one	C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCCC(=O)C4=CC=C(C=C4)F	156386.0|156386.0|156386.0|156386.0|156386.0|156386.0|156386.0|156386.0|156386.0|156386.0|156386.0|156386.0|156386.0|	0.07	InChI=1S/C23H25BrFN3O2/c24-18-5-9-20(10-6-18)28-16-26-22(30)23(28)11-14-27(15-12-23)13-1-2-21(29)17-3-7-19(25)8-4-17/h3-10H,1-2,11-16H2,(H,26,30)	R2|R2|R3|R8|R21|R25|R27|R27|R38|R41|R43|R47|R40|	B	
616	irie-16a	2-cyano-n-methyl-4-[(1-propan-2-ylpiperidin-4-yl)methoxy]-6-(spiro[3.5]nonan-7-ylmethylamino)pyrimidine-5-carboxamide	CC(C)N1CCC(CC1)COC2=NC(=NC(=C2C(=O)NC)NCC3CCC4(CCC4)CC3)C#N	44579123.0|44579123.0|44579123.0|	0.08	InChI=1S/C26H40N6O2/c1-18(2)32-13-7-20(8-14-32)17-34-25-22(24(33)28-3)23(30-21(15-27)31-25)29-16-19-5-11-26(12-6-19)9-4-10-26/h18-20H,4-14,16-17H2,1-3H3,(H,28,33)(H,29,30,31)	R18|R26|R27|	B	
617	1,3a,8-trimethyl-1,2,3,3a,8,8a-hexahydropyrrolo[2,3-b]indol-5-yl methylcarbamate	(3,4,8b-trimethyl-2,3a-dihydro-1h-pyrrolo[2,3-b]indol-7-yl) n-methylcarbamate	CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C	4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|4811.0|	0.08	InChI=1S/C15H21N3O2/c1-15-7-8-17(3)13(15)18(4)12-6-5-10(9-11(12)15)20-14(19)16-2/h5-6,9,13H,7-8H2,1-4H3,(H,16,19)	R12|R25|R35|R36|R43|R49|R40|R2|R2|R27|R3|R18|R26|R27|R27|R38|R41|R46|R47|	B	
618	cube-8		Oc1cc(OCCCCOc2ccc(CCC(O)=O)c(OCC)c2)ccc1C(CC(C)C)=O	nan|nan|nan|	0.08	InChI=1S/C26H34O7/c1-4-31-25-17-21(9-7-19(25)8-12-26(29)30)33-14-6-5-13-32-20-10-11-22(24(28)16-20)23(27)15-18(2)3/h7,9-11,16-18,28H,4-6,8,12-15H2,1-3H3,(H,29,30)	R18|R26|R27|	B	
619	nimodipine	3-o-(2-methoxyethyl) 5-o-propan-2-yl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC	4497.0|4497.0|	0.08	InChI=1S/C21H26N2O7/c1-12(2)30-21(25)18-14(4)22-13(3)17(20(24)29-10-9-28-5)19(18)15-7-6-8-16(11-15)23(26)27/h6-8,11-12,19,22H,9-10H2,1-5H3	R20|R25|	B	
620	1,1,1-trichloro-2-fluoroethane	1,1,1-trichloro-2-fluoroethane	C(C(Cl)(Cl)Cl)F	75397.0|75397.0|75397.0|	0.08	InChI=1S/C2H2Cl3F/c3-2(4,5)1-6/h1H2	R18|R26|R27|	B	
621	5-propyl-5-ethyl barbituric acid (5-ethyl-5-propyl-1,3-diazinane-2,4,6-trione)	5-ethyl-5-propyl-1,3-diazinane-2,4,6-trione	CCCC1(C(=O)NC(=O)NC1=O)CC	46516.0|46516.0|46516.0|46516.0|46516.0|46516.0|46516.0|46516.0|46516.0|46516.0|46516.0|46516.0|46516.0|	0.09	InChI=1S/C9H14N2O3/c1-3-5-9(4-2)6(12)10-8(14)11-7(9)13/h3-5H2,1-2H3,(H2,10,11,12,13,14)	R25|R41|R3|R38|R40|R21|R27|R43|R46|R47|R2|R2|R27|	B	
622	5-ethyl-5-pentylbarbituric acid	5-ethyl-5-pentyl-1,3-diazinane-2,4,6-trione	CCCCCC1(C(=O)NC(=O)NC1=O)CC	66994.0|66994.0|66994.0|66994.0|66994.0|66994.0|66994.0|66994.0|66994.0|66994.0|66994.0|66994.0|	0.09	InChI=1S/C11H18N2O3/c1-3-5-6-7-11(4-2)8(14)12-10(16)13-9(11)15/h3-7H2,1-2H3,(H2,12,13,14,15,16)	R25|R41|R3|R38|R40|R43|R46|R47|R2|R2|R8|R27|	B	
623	1-(4-amino-5-chloro-2-methoxyphenyl)-4-(diethylamino)butan-1-one	1-(4-amino-5-chloro-2-methoxyphenyl)-4-(diethylamino)butan-1-one	CCN(CC)CCCC(=O)C1=CC(=C(C=C1OC)N)Cl	23202550.0|23202550.0|23202550.0|	0.09	InChI=1S/C15H23ClN2O2/c1-4-18(5-2)8-6-7-14(19)11-9-12(16)13(17)10-15(11)20-3/h9-10H,4-8,17H2,1-3H3	R18|R26|R27|	B	
624	mppf	4-fluoro-n-[2-[4-(2-methoxyphenyl)piperazin-1-yl]ethyl]-n-pyridin-2-ylbenzamide	COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4=CC=C(C=C4)F	6603915.0|6603915.0|6603915.0|6603915.0|6603915.0|6603915.0|	0.09	InChI=1S/C25H27FN4O2/c1-32-23-7-3-2-6-22(23)29-17-14-28(15-18-29)16-19-30(24-8-4-5-13-27-24)25(31)20-9-11-21(26)12-10-20/h2-13H,14-19H2,1H3	R2|R2|R20|R25|R27|R46|	B	
625	1622-62-4	5-(2-fluorophenyl)-1-methyl-7-nitro-3h-1,4-benzodiazepin-2-one	CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F	3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|3380.0|	0.1	InChI=1S/C16H12FN3O3/c1-19-14-7-6-10(20(22)23)8-12(14)16(18-9-15(19)21)11-4-2-3-5-13(11)17/h2-8H,9H2,1H3	R40|R3|R4|R11|R12|R18|R20|R25|R26|R27|R36|R38|R39|R41|R43|R44|R47|R2|R2|R8|R21|R27|R27|R5|	B	
626	paraxanthine	1,7-dimethyl-3h-purine-2,6-dione	CN1C=NC2=C1C(=O)N(C(=O)N2)C	4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|4687.0|	0.1	InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)	R40|R3|R12|R35|R36|R38|R39|R41|R43|R44|R47|R2|R2|R8|R21|R27|R27|R5|	B	
627	eserine	[(3ar,8bs)-3,4,8b-trimethyl-2,3a-dihydro-1h-pyrrolo[2,3-b]indol-7-yl] n-methylcarbamate	C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C	5983.0|5983.0|5983.0|5983.0|5983.0|5983.0|5983.0|5983.0|	0.1	InChI=1S/C15H21N3O2/c1-15-7-8-17(3)13(15)18(4)12-6-5-10(9-11(12)15)20-14(19)16-2/h5-6,9,13H,7-8H2,1-4H3,(H,16,19)/t13-,15+/m1/s1	R44|R8|R11|R11|R17|R21|R42|R5|	B	
628	2,5-dihydroxybenzoic acid	2-carboxy-4-hydroxyphenolate	C1=CC(=C(C=C1O)C(=O)O)[O-]	3469.0|3469.0|3469.0|3469.0|3469.0|3469.0|3469.0|3469.0|3469.0|3469.0|3469.0|3469.0|3469.0|3469.0|	0.1	InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)	R40|R12|R25|R35|R47|R2|R2|R27|R21|R27|R43|R8|R5|R39|	B	
629	terbinafine	[(e)-6,6-dimethylhept-2-en-4-ynyl]-methyl-(naphthalen-1-ylmethyl)azanium	CC(C)(C)C#C/C=C/C[NH+](C)CC1=CC=CC2=CC=CC=C21	1549008.0|1549008.0|1549008.0|1549008.0|1549008.0|1549008.0|1549008.0|1549008.0|1549008.0|1549008.0|1549008.0|1549008.0|1549008.0|1549008.0|	0.1	InChI=1S/C21H25N/c1-21(2,3)15-8-5-9-16-22(4)17-19-13-10-12-18-11-6-7-14-20(18)19/h5-7,9-14H,16-17H2,1-4H3/b9-5+	R4|R2|R2|R25|R27|R43|R46|R40|R47|R38|R18|R26|R41|R27|	B	
630	quinidine (quinine)	(5-ethenyl-2-bicyclo[2.2.2]octanyl)-(6-methoxyquinolin-4-yl)methanol	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCC3CC4C=C)O	5009.0|5009.0|5009.0|5009.0|5009.0|5009.0|5009.0|	0.1	InChI=1S/C21H25NO2/c1-3-13-10-15-5-4-14(13)11-18(15)21(23)17-8-9-22-20-7-6-16(24-2)12-19(17)20/h3,6-9,12-15,18,21,23H,1,4-5,10-11H2,2H3	R2|R2|R25|R27|R38|R41|R46|	B	
631	fluoromar	2-ethenoxy-1,1,1-trifluoroethane	C=COCC(F)(F)F	9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|9844.0|	0.1	InChI=1S/C4H5F3O/c1-2-8-3-4(5,6)7/h2H,1,3H2	R5|R2|R2|R8|R11|R12|R17|R18|R21|R22|R25|R26|R27|R27|R32|R33|R35|R36|R39|R43|R44|R46|R48|R49|R40|R3|R38|R41|R47|	B	
632	schembl15974503	5-(cyclohexen-1-yl)-1,5-dimethyl-1,3-diazinane-2,4-dione	CC1(CN(C(=O)NC1=O)C)C2=CCCCC2	90358929.0|90358929.0|90358929.0|	0.1	InChI=1S/C12H18N2O2/c1-12(9-6-4-3-5-7-9)8-14(2)11(16)13-10(12)15/h6H,3-5,7-8H2,1-2H3,(H,13,15,16)	R18|R26|R27|	B	
633	naproxen	(2s)-2-(6-methoxynaphthalen-2-yl)propanoic acid	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O	156391.0|156391.0|156391.0|156391.0|156391.0|	0.1	InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1	R2|R2|R25|R27|R46|	B	
634	zolantidine; 41	n-[3-[3-(piperidin-1-ylmethyl)phenoxy]propyl]-1,3-benzothiazol-2-amine	C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3	91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|91769.0|	0.1	InChI=1S/C22H27N3OS/c1-4-13-25(14-5-1)17-18-8-6-9-19(16-18)26-15-7-12-23-22-24-20-10-2-3-11-21(20)27-22/h2-3,6,8-11,16H,1,4-5,7,12-15,17H2,(H,23,24)	R5|R2|R2|R3|R8|R11|R12|R18|R20|R21|R25|R26|R27|R27|R27|R35|R36|R38|R39|R41|R43|R46|R47|R48|R49|R49|R4|R40|	B	
635	tert-butylalcohol	2-methylpropan-2-ol	CC(C)(C)O	6386.0|6386.0|6386.0|6386.0|6386.0|6386.0|6386.0|6386.0|6386.0|6386.0|6386.0|6386.0|6386.0|6386.0|	0.11	InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3	R2|R2|R3|R8|R21|R25|R27|R27|R38|R40|R41|R43|R46|R47|	B	
636	pfizer compound 20	n-[[5-(3,5-dimethylpyrazol-1-yl)-2-methoxyphenyl]methyl]-2-phenylpiperidin-3-amine	CC1=CC(=NN1C2=CC(=C(C=C2)OC)CNC3CCCNC3C4=CC=CC=C4)C	22620075.0|22620075.0|22620075.0|22620075.0|22620075.0|22620075.0|22620075.0|22620075.0|22620075.0|	0.11	InChI=1S/C24H30N4O/c1-17-14-18(2)28(27-17)21-11-12-23(29-3)20(15-21)16-26-22-10-7-13-25-24(22)19-8-5-4-6-9-19/h4-6,8-9,11-12,14-15,22,24-26H,7,10,13,16H2,1-3H3	R2|R2|R8|R25|R27|R46|R47|R4|R40|	B	
637	oxycodone	(4r,4as,7ar,12bs)-4a-hydroxy-9-methoxy-3-methyl-2,4,5,6,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one	CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O	5284603.0|5284603.0|5284603.0|	0.11	InChI=1S/C18H21NO4/c1-19-8-7-17-14-10-3-4-12(22-2)15(14)23-16(17)11(20)5-6-18(17,21)13(19)9-10/h3-4,13,16,21H,5-9H2,1-2H3/t13-,16+,17+,18-/m1/s1	R18|R26|R27|	B	
638	dehydroevodiamine	21-methyl-3,13-diaza-21-azoniapentacyclo[11.8.0.02,10.04,9.015,20]henicosa-1(21),4,6,8,15,17,19-heptaen-14-one	C[N+]1=C2C3C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3	125676.0|125676.0|125676.0|125676.0|125676.0|	0.11	InChI=1S/C19H18N3O/c1-21-16-9-5-3-7-14(16)19(23)22-11-10-13-12-6-2-4-8-15(12)20-17(13)18(21)22/h2-9,13,17,20H,10-11H2,1H3/q+1	R2|R2|R25|R27|R46|	B	
639	chembl246597	4-methyl-6-[[1-[2-(2-methylquinolin-5-yl)oxyethyl]piperidin-4-yl]methyl]-1,4-benzoxazin-3-one	CC1=NC2=C(C=C1)C(=CC=C2)OCCN3CCC(CC3)CC4=CC5=C(C=C4)OCC(=O)N5C	10114480.0|10114480.0|10114480.0|	0.11	InChI=1S/C27H31N3O3/c1-19-6-8-22-23(28-19)4-3-5-25(22)32-15-14-30-12-10-20(11-13-30)16-21-7-9-26-24(17-21)29(2)27(31)18-33-26/h3-9,17,20H,10-16,18H2,1-2H3	R18|R26|R27|	B	
640	184886-95-1	n-(2,6-dichlorophenyl)-2,5-dihydro-1h-imidazol-2-amine	C1C=NC(N1)NC2=C(C=CC=C2Cl)Cl	13071367.0|13071367.0|13071367.0|13071367.0|	0.11	InChI=1S/C9H9Cl2N3/c10-6-2-1-3-7(11)8(6)14-9-12-4-5-13-9/h1-4,9,13-14H,5H2	R2|R2|R8|R27|	B	
641	desflurane (suprane)	2-(difluoromethoxy)-1,1,1,2-tetrafluoroethane	C(C(F)(F)F)(OC(F)F)F	42113.0|42113.0|42113.0|42113.0|42113.0|42113.0|42113.0|42113.0|42113.0|42113.0|42113.0|42113.0|42113.0|42113.0|	0.11	InChI=1S/C3H2F6O/c4-1(3(7,8)9)10-2(5)6/h1-2H	R2|R2|R8|R12|R20|R21|R25|R27|R27|R35|R39|R40|R43|R47|	B	
642	2-(5,6-dichloroindazol-1-yl)ethanamine	2-(5,6-dichloroindazol-1-yl)ethanamine	C1=C2C=NN(C2=CC(=C1Cl)Cl)CCN	44214615.0|44214615.0|44214615.0|44214615.0|44214615.0|44214615.0|44214615.0|	0.11	InChI=1S/C9H9Cl2N3/c10-7-3-6-5-13-14(2-1-12)9(6)4-8(7)11/h3-5H,1-2,12H2	R2|R2|R8|R27|R43|R47|R48|	B	
643	propyl acetate 	propyl acetate	CCCOC(=O)C	7997.0|7997.0|7997.0|7997.0|7997.0|7997.0|7997.0|7997.0|7997.0|7997.0|7997.0|7997.0|7997.0|	0.12	InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3	R3|R38|R2|R2|R8|R21|R25|R27|R27|R40|R41|R43|R47|	B	
644	3891-33-6	1,4-bis(ethenoxy)butane	C=COCCCCOC=C	77501.0|77501.0|77501.0|77501.0|77501.0|77501.0|77501.0|77501.0|77501.0|77501.0|	0.12	InChI=1S/C8H14O2/c1-3-9-7-5-6-8-10-4-2/h3-4H,1-2,5-8H2	R2|R2|R8|R21|R25|R27|R27|R43|R46|R47|	B	
645	s111	(e)-1-fluoro-2-[(e)-2-fluoroethenoxy]ethene	C(=C/F)\O/C=C/F	87737353.0|87737353.0|87737353.0|87737353.0|87737353.0|87737353.0|	0.13	InChI=1S/C4H4F2O/c5-1-3-7-4-2-6/h1-4H/b3-1+,4-2+	R2|R2|R25|R27|R46|R47|	B	
646	chembl219060	benzyl 4-[(pyridin-4-ylamino)methyl]piperidine-1-carboxylate	C1CN(CCC1CNC2=CC=NC=C2)C(=O)OCC3=CC=CC=C3	9797385.0|9797385.0|9797385.0|	0.13	InChI=1S/C19H23N3O2/c23-19(24-15-17-4-2-1-3-5-17)22-12-8-16(9-13-22)14-21-18-6-10-20-11-7-18/h1-7,10-11,16H,8-9,12-15H2,(H,20,21)	R18|R26|R27|	B	
647	mchr antagonist 2'	6-chloro-4-[[1-[(e)-3-phenylprop-2-enyl]piperidin-4-yl]amino]chromen-2-one	C1CN(CCC1NC2=CC(=O)OC3=C2C=C(C=C3)Cl)C/C=C/C4=CC=CC=C4	11545677.0|11545677.0|11545677.0|11545677.0|11545677.0|11545677.0|	0.13	InChI=1S/C23H23ClN2O2/c24-18-8-9-22-20(15-18)21(16-23(27)28-22)25-19-10-13-26(14-11-19)12-4-7-17-5-2-1-3-6-17/h1-9,15-16,19,25H,10-14H2/b7-4+	R2|R2|R20|R25|R27|R46|	B	
648	declopramide	4-amino-3-chloro-n-[2-(diethylamino)ethyl]benzamide	CCN(CC)CCNC(=O)C1=CC(=C(C=C1)N)Cl	70177.0|70177.0|70177.0|	0.14	InChI=1S/C13H20ClN3O/c1-3-17(4-2)8-7-16-13(18)10-5-6-12(15)11(14)9-10/h5-6,9H,3-4,7-8,15H2,1-2H3,(H,16,18)	R18|R26|R27|	B	
649	compound-10b	1-[(5-chloro-2-phenylmethoxyphenyl)methyl]-5-methyl-n-[4-(methylaminomethyl)phenyl]pyrazole-3-carboxamide	CC1=CC(=NN1CC2=C(C=CC(=C2)Cl)OCC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)CNC	24894002.0|24894002.0|24894002.0|	0.15	InChI=1S/C27H27ClN4O2/c1-19-14-25(27(33)30-24-11-8-20(9-12-24)16-29-2)31-32(19)17-22-15-23(28)10-13-26(22)34-18-21-6-4-3-5-7-21/h3-15,29H,16-18H2,1-2H3,(H,30,33)	R18|R26|R27|	B	
650	2,4-dichlorophenoxyacetic acid	2-(2,4-dichlorophenoxy)acetic acid	C1=CC(=C(C=C1Cl)Cl)OCC(=O)O	1486.0|1486.0|1486.0|1486.0|	0.15	InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)	R2|R2|R8|R27|	B	
651	1,2,4-trimethylbenzene	1,2,4-trimethylbenzene	CC1=CC(=C(C=C1)C)C	7247.0|7247.0|7247.0|7247.0|7247.0|7247.0|7247.0|7247.0|7247.0|7247.0|7247.0|7247.0|7247.0|7247.0|	0.16	InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3	R2|R2|R3|R8|R21|R25|R27|R27|R38|R40|R41|R43|R46|R47|	B	
652	st 363	n-(2,4-dichlorophenyl)-4,5-dihydro-1h-imidazol-2-amine	C1CN=C(N1)NC2=C(C=C(C=C2)Cl)Cl	90274.0|90274.0|90274.0|90274.0|90274.0|90274.0|90274.0|90274.0|90274.0|90274.0|90274.0|90274.0|90274.0|90274.0|90274.0|	0.16	InChI=1S/C9H9Cl2N3/c10-6-1-2-8(7(11)5-6)14-9-12-3-4-13-9/h1-2,5H,3-4H2,(H2,12,13,14)	R2|R2|R2|R2|R8|R21|R25|R27|R27|R27|R43|R46|R47|R4|R40|	B	
653	org13011	1-[4-[4-[4-(trifluoromethyl)pyridin-2-yl]piperazin-1-yl]butyl]pyrrolidin-2-one	C1CC(=O)N(C1)CCCCN2CCN(CC2)C3=NC=CC(=C3)C(F)(F)F	9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|9907401.0|	0.16	InChI=1S/C18H25F3N4O/c19-18(20,21)15-5-6-22-16(14-15)24-12-10-23(11-13-24)7-1-2-8-25-9-3-4-17(25)26/h5-6,14H,1-4,7-13H2	R2|R2|R3|R8|R18|R21|R25|R26|R27|R27|R27|R36|R38|R41|R43|R46|R47|R49|R4|R40|	B	
654	tert-amylmethylether	2-methoxy-2-methylbutane	CCC(C)(C)OC	61247.0|61247.0|61247.0|61247.0|61247.0|61247.0|61247.0|61247.0|61247.0|61247.0|61247.0|61247.0|61247.0|61247.0|	0.17	InChI=1S/C6H14O/c1-5-6(2,3)7-4/h5H2,1-4H3	R2|R2|R3|R8|R21|R25|R27|R27|R38|R40|R41|R43|R46|R47|	B	
655	4-chlorobenzotrifluoride	1-chloro-4-(trifluoromethyl)benzene	C1=CC(=CC=C1C(F)(F)F)Cl	7394.0|7394.0|7394.0|7394.0|7394.0|7394.0|7394.0|7394.0|7394.0|7394.0|7394.0|7394.0|7394.0|7394.0|	0.17	InChI=1S/C7H4ClF3/c8-6-3-1-5(2-4-6)7(9,10)11/h1-4H	R2|R2|R3|R8|R21|R25|R27|R27|R38|R40|R41|R43|R46|R47|	B	
656	minozac free base	4-methyl-6-phenyl-3-(4-pyrimidin-2-ylpiperazin-1-yl)pyridazine	CC1=CC(=NN=C1N2CCN(CC2)C3=NC=CC=N3)C4=CC=CC=C4	11515480.0|11515480.0|11515480.0|	0.18	InChI=1S/C19H20N6/c1-15-14-17(16-6-3-2-4-7-16)22-23-18(15)24-10-12-25(13-11-24)19-20-8-5-9-21-19/h2-9,14H,10-13H2,1H3	R18|R26|R27|	B	
657	gw406381	2-(4-ethoxyphenyl)-3-(4-methylsulfonylphenyl)pyrazolo[1,5-b]pyridazine	CCOC1=CC=C(C=C1)C2=NN3C(=C2C4=CC=C(C=C4)S(=O)(=O)C)C=CC=N3	9832687.0|9832687.0|9832687.0|	0.18	InChI=1S/C21H19N3O3S/c1-3-27-17-10-6-16(7-11-17)21-20(19-5-4-14-22-24(19)23-21)15-8-12-18(13-9-15)28(2,25)26/h4-14H,3H2,1-2H3	R18|R26|R27|	B	
658	repinotan		O=S1(c2ccccc2C(N1CCCCN[C@H]3CCc4ccccc4O3)=O)=O	nan|nan|nan|	0.18	InChI=1S/C20H22N2O4S/c23-20-16-8-2-4-10-18(16)27(24,25)22(20)14-6-5-13-21-19-12-11-15-7-1-3-9-17(15)26-19/h1-4,7-10,19,21H,5-6,11-14H2/t19-/m1/s1	R18|R26|R27|	B	
659	5-butyl-5-ethyl barbituric acid (butethal)	5-butyl-5-ethyl-1,3-diazinane-2,4,6-trione	CCCCC1(C(=O)NC(=O)NC1=O)CC	6473.0|6473.0|6473.0|6473.0|6473.0|6473.0|6473.0|6473.0|6473.0|6473.0|6473.0|6473.0|6473.0|6473.0|	0.19	InChI=1S/C10H16N2O3/c1-3-5-6-10(4-2)7(13)11-9(15)12-8(10)14/h3-6H2,1-2H3,(H2,11,12,13,14,15)	R3|R38|R25|R41|R40|R2|R2|R8|R21|R27|R27|R43|R46|R47|	B	
660	sulforidazine	10-[2-(1-methylpiperidin-2-yl)ethyl]-2-methylsulfonylphenothiazine	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)C	31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|31765.0|	0.2	InChI=1S/C21H26N2O2S2/c1-22-13-6-5-7-16(22)12-14-23-18-8-3-4-9-20(18)26-21-11-10-17(15-19(21)23)27(2,24)25/h3-4,8-11,15-16H,5-7,12-14H2,1-2H3	R3|R11|R12|R18|R21|R25|R26|R27|R27|R35|R36|R38|R39|R41|R43|R46|R47|R4|R2|R2|R8|R27|R40|R5|	B	
661	secobarbital	5-pentan-2-yl-5-prop-2-enyl-1,3-diazinane-2,4,6-trione	CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C	5193.0|5193.0|5193.0|5193.0|5193.0|5193.0|5193.0|	0.2	InChI=1S/C12H18N2O3/c1-4-6-8(3)12(7-5-2)9(15)13-11(17)14-10(12)16/h5,8H,2,4,6-7H2,1,3H3,(H2,13,14,15,16,17)	R4|R8|R21|R27|R40|R43|R47|	B	
